disid	uid	upazilla
86	8636	GOSAIRHAT
86	8665	NARIA
86	8669	PALONG
86	8694	ZANJIRA
87	8704	ASSASUNI
87	8725	DEBHATA
87	8743	KALAROA
87	8747	KALIGANJ
87	8782	SATKHIRA SADAR
87	8786	SHYAMNAGAR
87	8790	TALA
88	8811	BELKUCHI
88	8827	CHAUHALI
88	8844	KAMARKHANDA
88	8850	KAZIPUR
88	8861	ROYGANJ
88	8867	SHAHJADPUR
88	8878	SIRAJGANJ SADAR
88	8889	TARASH
88	8894	ULLAH PARA
89	8937	JHENAIGATI
89	8967	NAKLA
89	8970	NALITABARI
89	8988	SHERPUR SADAR
89	8990	SREEBARDI
9	918	BHOLA SADAR
9	921	BURHANUDDIN
9	925	CHAR FASSON
9	929	DAULATKHAN
9	954	LALMOHAN
9	965	MANPURA
9	991	TAZUMUDDIN
90	9018	BISHWAMBARPUR
90	9023	CHHATAK
90	9029	DERAI
90	9032	DHARAMPASHA
90	9033	DOWARABAZAR
90	9047	JAGANNATHPUR
90	9050	JAMALGANJ
90	9086	SULLA
90	9089	SUNAMGANJ SADAR
90	9092	TAHIRPUR
91	9108	BALAGANJ
91	9117	BEANI BAZAR
91	9120	BISHWANATH
91	9127	COMPANIGANJ
91	UID000036	Dokkhmin shurma
91	9135	FENCHUGANJ
91	9138	GOLABGANJ
91	9141	GOWAINGHAT
91	9153	JAINTIAPUR
91	9159	KANAIGHAT
91	9162	KOTWALI (SYLHET SADAR)
91	UID000038	SADAR
91	UID000037	Shah Poran
91	9194	ZAKIGANJ
93	9309	BASAIL
93	9319	BHUAPUR
93	9323	DELDUAR
93	9328	GHATAIL
93	9338	GOPALPUR
93	9347	KALIHATI
93	9357	MADHUPUR
93	9366	MIRZAPUR
93	9376	NAGARPUR
93	9385	SAKHIPUR
93	9395	TANGAIL SADAR
94	9408	BALIADANGI
94	9451	HARIPUR
94	9482	PIRGANJ
94	9486	RANISANKAIL
94	9494	THAKURGAON SADAR
DSID000002	UID000012	Bholahat
DSID000002	UID000013	GOMASTAPUR 
DSID000002	UID000015	NABABGANJ SADAR 
DSID000002	UID000014	NACHOLE 
DSID000002	UID000016	SHIBGANJ 
